Ti,Al,Sn,Zr,Mo,Si,C,Nb,Hf,Ta,Cr,B,Mn,V,Co,Fe,Ni,W,Cu,Zn,Mg,Gd,Y,P,Ce,N,Er,Ca,Ge,Re,O,Ga,T,lnkp,,,,,,
50.13,28.25,0,0,0,0,0,21.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-18.91497707,,,,,,
44.47,25.07,0,0,0,0,0,30.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-18.76317105,,,,,,
39.46,22.24,0,0,0,0,0,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-18.77735569,,,,,,
30.99,17.47,0,0,0,0,0,51.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-16.28061458,,,,,,
99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,-7.60090246,,,,,,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,-3.9633163,,,,,,
95.68,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,-7.158784034,,,,,,
95.68,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,-6.767993337,,,,,,
95.68,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,-5.956097403,,,,,,
95.68,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,-4.509860006,,,,,,
71.25,23.75,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-16.48915933,,,,,,
71.25,23.75,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-13.20032492,,,,,,
67.5,22.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-16.7914402,,,,,,
67.5,22.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-13.98986395,,,,,,
63.75,21.25,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-16.81124283,,,,,,
63.75,21.25,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-13.6166597,,,,,,
60,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-16.24592902,,,,,,
60,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-12.8952278,,,,,,
56.25,18.75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-15.50291001,,,,,,
56.25,18.75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-12.59763485,,,,,,
9.11,5.13,0,0,0,0,0,0,0,0,19.78,0,0,0,22.42,21.24,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-14.88262418,,,,,,
9.11,5.13,0,0,0,0,0,0,0,0,19.78,0,0,0,22.42,21.24,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-12.00722179,,,,,,
9.11,5.13,0,0,0,0,0,0,0,0,19.78,0,0,0,22.42,21.24,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-9.567015316,,,,,,
8.66,9.76,0,0,0,0,0,0,0,0,18.81,0,0,0,21.32,20.21,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-15.93577409,,,,,,
8.66,9.76,0,0,0,0,0,0,0,0,18.81,0,0,0,21.32,20.21,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-14.73932956,,,,,,
